41mini-v1-find-plant,openai/gpt-4.1-mini,5781f7a1-ea87-4dab-abc4-80170994b363,find-plant,0,v1,17,True,100,10
41mini-v1-find-living-thing,openai/gpt-4.1-mini,ca7f3a27-4861-4258-899b-1624dd5e70eb,find-living-thing,0,v1,34,True,100,10
41mini-v1-find-non-living-thing,openai/gpt-4.1-mini,2ddc6c62-1fd0-4c5d-af00-4dea915cd627,find-non-living-thing,0,v1,51,False,75,5
41mini-v1-boil,openai/gpt-4.1-mini,fee877f3-0e1f-465b-9396-0fc85086b3ca,boil,0,v1,51,False,-100,39
41mini-v1-change-the-state-of-matter-of,openai/gpt-4.1-mini,cd5dc752-4fb1-45df-be92-9cdafd8d6171,change-the-state-of-matter-of,0,v1,51,False,-100,26
41mini-v1-chemistry-mix,openai/gpt-4.1-mini,386b0a80-b1aa-492b-926d-a9827dc18dd0,chemistry-mix,0,v1,51,False,25,24
41mini-v1-find-animal,openai/gpt-4.1-mini,43f95008-b94a-4f74-aca4-3ba7626020b9,find-animal,0,v1,51,False,-100,10
41mini-v1-chemistry-mix-paint-tertiary-color,openai/gpt-4.1-mini,8b9af157-d5b4-4e3d-97c8-08594c8a9044,chemistry-mix-paint-tertiary-color,0,v1,51,False,-100,30
41mini-v1-freeze,openai/gpt-4.1-mini,4f8b79f6-50ef-4c47-97e4-24ecfabf023a,freeze,0,v1,51,False,-100,26
41mini-v1-chemistry-mix-paint-secondary-color,openai/gpt-4.1-mini,807656ef-0524-4a62-bac5-54e5fff6483b,chemistry-mix-paint-secondary-color,0,v1,51,False,-100,21
41mini-v1-lifespan-longest-lived,openai/gpt-4.1-mini,e9f0a3fb-3efe-475f-aaab-0bd4c6a80617,lifespan-longest-lived,0,v1,9,True,100,6
41mini-v1-lifespan-shortest-lived,openai/gpt-4.1-mini,b49ab9a0-8650-4d4e-9c8d-c85f40d049ba,lifespan-shortest-lived,0,v1,10,True,-100,6
41mini-v1-inclined-plane-friction-named-surfaces,openai/gpt-4.1-mini,ed701e6b-e757-43a0-b813-10400d07a80b,inclined-plane-friction-named-surfaces,0,v1,10,True,100,51
41mini-v1-lifespan-longest-lived-then-shortest-lived,openai/gpt-4.1-mini,040d9cc2-962e-414a-b076-db99e4c46116,lifespan-longest-lived-then-shortest-lived,0,v1,11,True,100,7
41mini-v1-identify-life-stages-2,openai/gpt-4.1-mini,7c703f0e-e93a-4ed0-b9e2-69b8458a0bfd,identify-life-stages-2,0,v1,15,True,-100,16
41mini-v1-inclined-plane-friction-unnamed-surfaces,openai/gpt-4.1-mini,4b134dbe-6ff6-47bd-ba70-4bed5cc4aeb0,inclined-plane-friction-unnamed-surfaces,0,v1,51,False,-100,178
41mini-v1-grow-fruit,openai/gpt-4.1-mini,bb6ad931-acda-49cf-9ce9-f272bb36912e,grow-fruit,0,v1,51,False,20,77
41mini-v1-identify-life-stages-1,openai/gpt-4.1-mini,aed9786c-2966-4865-bd01-9c17f3ab4cac,identify-life-stages-1,0,v1,51,False,-100,41
41mini-v1-inclined-plane-determine-angle,openai/gpt-4.1-mini,5bd237e6-fe20-437d-a17e-e1379ff5a5c4,inclined-plane-determine-angle,0,v1,51,False,-100,55
41mini-v1-grow-plant,openai/gpt-4.1-mini,180e6477-82be-4e45-a273-c23dec2a4b6f,grow-plant,0,v1,51,False,27,63
41mini-v1-test-conductivity-of-unknown-substances,openai/gpt-4.1-mini,0581ed8b-029a-4af4-aed8-51d078de4c49,test-conductivity-of-unknown-substances,0,v1,43,True,100,21
41mini-v1-measure-melting-point-known-substance,openai/gpt-4.1-mini,95c217ca-d8cd-4325-a4b1-c24025b30ea7,measure-melting-point-known-substance,0,v1,48,True,100,27
41mini-v1-measure-melting-point-unknown-substance,openai/gpt-4.1-mini,5fd48b7d-7e5e-45af-88df-0ac15190a814,measure-melting-point-unknown-substance,0,v1,43,True,-100,32
41mini-v1-test-conductivity,openai/gpt-4.1-mini,16d959fd-d1a9-4e6a-8d35-2084d0fa0c99,test-conductivity,0,v1,51,False,74,21
41mini-v1-use-thermometer,openai/gpt-4.1-mini,1b10b7a0-fe1e-4890-9749-0287c73a13c9,use-thermometer,0,v1,51,False,-100,22
41mini-v1-melt,openai/gpt-4.1-mini,a29694a3-7d96-4f5d-906f-b5b6b680c538,melt,0,v1,51,False,-100,34
41mini-v1-mendelian-genetics-known-plant,openai/gpt-4.1-mini,1da5127a-ef8e-4903-8c2b-9b4cc8d83b9b,mendelian-genetics-known-plant,0,v1,51,False,12,143
41mini-v1-power-component,openai/gpt-4.1-mini,7aa6ecaf-1e4c-4831-9b72-96a2b87400f0,power-component,0,v1,51,False,83,11
41mini-v1-power-component-renewable-vs-nonrenewable-energy,openai/gpt-4.1-mini,ec9800da-e9ad-4e32-a772-98036d4ced9c,power-component-renewable-vs-nonrenewable-energy,0,v1,51,False,53,26
41mini-v1-mendelian-genetics-unknown-plant,openai/gpt-4.1-mini,da64a17d-1dde-4678-8904-ae6cd590dd40,mendelian-genetics-unknown-plant,0,v1,51,False,-100,145
